,categories,city,country,name,phone,rating,review_count,state,street,url,yelp_alias,zip_code
0,Cosmetic Dentists | General Dentistry,Lafayette,US,"Kevin Ko, DDS",(925) 934-0192,5.0,85,CA,3190 Old Tunnel Rd,https://www.yelp.com/biz/kevin-ko-dds-lafayette-2,kevin-ko-dds-lafayette-2,94549
1,Cosmetic Dentists | General Dentistry,Walnut Creek,US,Annoni and White Dentistry,(925) 934-3892,4.5,150,CA,1855 San Miguel Dr - Ste 20,https://www.yelp.com/biz/annoni-and-white-dentistry-walnut-creek-3,annoni-and-white-dentistry-walnut-creek-3,94596
2,Cosmetic Dentists | General Dentistry | Teeth Whitening,Lafayette,US,Harvest Smile Care,(925) 283-3781,5.0,23,CA,3511 School St,https://www.yelp.com/biz/harvest-smile-care-lafayette-3,harvest-smile-care-lafayette-3,94549
3,Orthodontists,Lafayette,US,Cobain Orthodontics,(925) 283-3355,5.0,21,CA,905 Moraga Rd,https://www.yelp.com/biz/cobain-orthodontics-lafayette,cobain-orthodontics-lafayette,94549
4,Cosmetic Dentists | General Dentistry | Prosthodontists,Lafayette,US,"Andrew W Ferrier, DDS - East Bay Healthy Smiles",(925) 283-0313,5.0,26,CA,895 Moraga Rd - Ste 11,https://www.yelp.com/biz/andrew-w-ferrier-dds-east-bay-healthy-smiles-lafayette,andrew-w-ferrier-dds-east-bay-healthy-smiles-lafayette,94549
5,Cosmetic Dentists | General Dentistry,Pleasant Hill,US,"Daniel C Leung, DDS & Yen Vu, DDS",(925) 689-4404,4.5,80,CA,3159 Putnam Blvd - Ste B,https://www.yelp.com/biz/daniel-c-leung-dds-and-yen-vu-dds-pleasant-hill,daniel-c-leung-dds-and-yen-vu-dds-pleasant-hill,94523
6,General Dentistry | Cosmetic Dentists,Walnut Creek,US,Kwon & Jabbour,(925) 930-8465,5.0,108,CA,108 La Casa Via - Ste 102,https://www.yelp.com/biz/kwon-and-jabbour-walnut-creek,kwon-and-jabbour-walnut-creek,94598
7,Cosmetic Dentists | General Dentistry | Endodontists,Walnut Creek,US,"David Nisenboym, DDS",(925) 934-3395,5.0,31,CA,130 Petticoat Ln,https://www.yelp.com/biz/david-nisenboym-dds-walnut-creek-4,david-nisenboym-dds-walnut-creek-4,94596
8,Oral Surgeons | Laser Hair Removal | Medical Spas,Lafayette,US,"Yuko C Nakamura, MD",(925) 283-1212,5.0,17,CA,895 Moraga Rd - Ste 7,https://www.yelp.com/biz/yuko-c-nakamura-md-lafayette,yuko-c-nakamura-md-lafayette,94549
9,Oral Surgeons,Walnut Creek,US,"Ali Alijanian, DDS",(925) 934-7888,4.5,75,CA,1150 Civic Dr - Ste 101,https://www.yelp.com/biz/ali-alijanian-dds-walnut-creek,ali-alijanian-dds-walnut-creek,94596
10,General Dentistry | Cosmetic Dentists,Walnut Creek,US,"Walnut Creek Dental - Massood Darvishzadeh, DDS",(925) 395-4580,4.5,52,CA,1855 Olympic Blvd - Ste 320,https://www.yelp.com/biz/walnut-creek-dental-massood-darvishzadeh-dds-walnut-creek,walnut-creek-dental-massood-darvishzadeh-dds-walnut-creek,94596
11,Pediatric Dentists,Walnut Creek,US,Walnut Creek Kids Dentistry,(925) 937-4030,4.5,52,CA,1844 San Miguel Dr - Ste 112,https://www.yelp.com/biz/walnut-creek-kids-dentistry-walnut-creek,walnut-creek-kids-dentistry-walnut-creek,94596
12,General Dentistry | Periodontists | Cosmetic Dentists,Lafayette,US,"David J Martin, DDS",(925) 283-6564,5.0,21,CA,938 Dewing Ave - Ste 2,https://www.yelp.com/biz/david-j-martin-dds-lafayette,david-j-martin-dds-lafayette,94549
13,Cosmetic Dentists | General Dentistry,Moraga,US,Lamorinda Dental Care,(925) 247-5343,4.5,52,CA,533 Moraga Rd - Ste 240,https://www.yelp.com/biz/lamorinda-dental-care-moraga-2,lamorinda-dental-care-moraga-2,94556
14,General Dentistry | Cosmetic Dentists | Orthodontists,Walnut Creek,US,"Julia Lee, DDS",(925) 930-8488,4.0,74,CA,2211 Olympic Blvd,https://www.yelp.com/biz/julia-lee-dds-walnut-creek,julia-lee-dds-walnut-creek,94595
15,General Dentistry,Lafayette,US,"Vibhuti Patel, DDS",(925) 284-7021,4.5,14,CA,963 Dewing Ave,https://www.yelp.com/biz/vibhuti-patel-dds-lafayette,vibhuti-patel-dds-lafayette,94549
16,General Dentistry | Cosmetic Dentists,Pleasant Hill,US,Nicole Hoang DMD PC,(925) 682-4912,5.0,47,CA,425 Gregory Ln - Ste 201,https://www.yelp.com/biz/nicole-hoang-dmd-pc-pleasant-hill-2,nicole-hoang-dmd-pc-pleasant-hill-2,94523
17,Pediatric Dentists,Lafayette,US,Lamorinda Tooth Buds,(925) 385-8051,4.5,13,CA,3501 School St,https://www.yelp.com/biz/lamorinda-tooth-buds-lafayette,lamorinda-tooth-buds-lafayette,94549
18,General Dentistry | Cosmetic Dentists,Walnut Creek,US,Procopio Wolter Dental Office,(925) 933-5677,5.0,21,CA,2229 Olympic Blvd - Olympic Professional Offices,https://www.yelp.com/biz/procopio-wolter-dental-office-walnut-creek,procopio-wolter-dental-office-walnut-creek,94595
19,General Dentistry,Walnut Creek,US,"William Schneider, DDS",(925) 935-2700,5.0,26,CA,1855 San Miguel Dr - Ste 31,https://www.yelp.com/biz/william-schneider-dds-walnut-creek-2,william-schneider-dds-walnut-creek-2,94596
20,General Dentistry,Walnut Creek,US,Spring Dental,(925) 930-7770,4.5,47,CA,2987 N Main St,https://www.yelp.com/biz/spring-dental-walnut-creek,spring-dental-walnut-creek,94597
21,Pediatric Dentists,Walnut Creek,US,Walnut Creek Pediatric Dentistry,(925) 937-7000,4.5,44,CA,1855 San Miguel Dr - Ste 9,https://www.yelp.com/biz/walnut-creek-pediatric-dentistry-walnut-creek-3,walnut-creek-pediatric-dentistry-walnut-creek-3,94596
22,General Dentistry | Cosmetic Dentists,Walnut Creek,US,"Tice Valley Dental: Sean Karimian, DDS",(925) 231-0972,5.0,21,CA,1220 Rossmoor Pkwy - Ste 1 - Tice Valley Dental,https://www.yelp.com/biz/tice-valley-dental-sean-karimian-dds-walnut-creek-2,tice-valley-dental-sean-karimian-dds-walnut-creek-2,94595
23,General Dentistry | Pediatric Dentists | Endodontists,Lafayette,US,"Charles W Ruefenacht, DDS - Innovative Dental Solutions",(925) 284-2203,4.5,16,CA,3509 School St,https://www.yelp.com/biz/charles-w-ruefenacht-dds-innovative-dental-solutions-lafayette,charles-w-ruefenacht-dds-innovative-dental-solutions-lafayette,94549
24,Oral Surgeons | Cosmetic Dentists,Walnut Creek,US,Pope Dental,(925) 939-4989,4.0,61,CA,1844 San Miguel Dr - Ste 200 - Pope Dental,https://www.yelp.com/biz/scott-h-pope-dds-walnut-creek-2,scott-h-pope-dds-walnut-creek-2,94596
25,Cosmetic Dentists | General Dentistry,Walnut Creek,US,Olympic Dental of Walnut Creek,(925) 935-3030,4.5,22,CA,1901 Olympic Blvd - Ste 105,https://www.yelp.com/biz/olympic-dental-of-walnut-creek-walnut-creek,olympic-dental-of-walnut-creek-walnut-creek,94596
26,Cosmetic Dentists,Walnut Creek,US,"Alex Rader, DDS",(925) 932-1855,4.5,30,CA,1855 San Miguel Dr - Ste 12,https://www.yelp.com/biz/alex-rader-dds-walnut-creek,alex-rader-dds-walnut-creek,94596
27,General Dentistry,Lafayette,US,"Matthew T Herrington, DDS",(925) 283-1144,4.5,18,CA,895 Moraga Rd - Ste 8,https://www.yelp.com/biz/matthew-t-herrington-dds-lafayette,matthew-t-herrington-dds-lafayette,94549
28,Cosmetic Dentists | General Dentistry,Walnut Creek,US,Dental Care of Walnut Creek,(925) 937-9017,3.5,112,CA,1111 Civic Dr - Ste 145,https://www.yelp.com/biz/dental-care-of-walnut-creek-walnut-creek,dental-care-of-walnut-creek-walnut-creek,94596
29,General Dentistry,Walnut Creek,US,"Cynthia Stephenson, DDS",(925) 938-6000,4.5,44,CA,1981 N Broadway - Ste 212,https://www.yelp.com/biz/cynthia-stephenson-dds-walnut-creek,cynthia-stephenson-dds-walnut-creek,94596
30,General Dentistry | Endodontists | Cosmetic Dentists,Walnut Creek,US,"James Mattingly, DDS",(925) 933-5446,4.5,60,CA,130 La Casa Via - Ste 202,https://www.yelp.com/biz/james-mattingly-dds-walnut-creek,james-mattingly-dds-walnut-creek,94598
31,Oral Surgeons,Lafayette,US,"Keith Gronbach, DDS",(925) 283-4050,4.5,23,CA,3799 Mt Diablo Blvd - Ste 200,https://www.yelp.com/biz/keith-gronbach-dds-lafayette-2,keith-gronbach-dds-lafayette-2,94549
